コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,クロフト,右,「本日の指令書を配布する」,scbg_officeno9.png,SCBGM_shireibunoiseandfoot.ogg,,Croft_face.png
Sentence,コンラッド,中央,「……俺はこの時間が一日の,,,,Conrad_face.png
,,,うちで最も苦痛かもしれない」,,,,
Brank,,,ルーカスにそう囁いてから、,,,,
,,,クロフトの元へ指令書を受け取り,,,,
,,,に向かう。,,,,
Brank,,,その紙に目を通したコンラッドの,,,SCSE_pasa.wav,
,,,表情が、にわかに変わった。,,,,
Sentence,コンラッド,中央,「クロフト准将。,,,,Conrad_angry.png
,,,少し、お時間を頂けますか」,,,,
Sentence,クロフト,右,「任務の時間を削ってまでか？」,,,,Croft_face.png
Sentence,コンラッド,中央,「そうです。その任務に関する,,,,Conrad_angry.png
,,,話なのだから、当然でしょう」,,,,
Brank,,,いつになく強い言葉を選んでいる,,,,
,,,のをルーカスは察した。,,,,
Sentence,ルーカス,,「コンラッド。任務後にしよう」,,,,Lucas_face.png
Sentence,コンラッド,中央,「これを見ろ」,,,,Conrad_angry.png
Brank,,,手渡された指令書の中には、,,,,
,,,“ヘミング・ギルソープ”の文字。,,,,
Sentence,ルーカス,左,（トゥイガー元大将の親友……）,,,,Lucas_face.png
Brank,,,ルーカスの中に、嫌な予感が,,,,
,,,芽生える。,,,,
Brank,,,このままコンラッドを行かせては,,,,
,,,いけない気がした。,,,,
Sentence,クロフト,右,「いいだろう。……おいルーカス」,,,,Croft_face.png
Sentence,ルーカス,左,「はい」,,,,Lucas_face.png
Sentence,クロフト,右,「今日は一人で任務を遂行せよ」,,,,Croft_face.png
Sentence,ルーカス,左,「いえ、俺も彼に同行します」,,,,Lucas_face.png
Sentence,クロフト,右,「黙れ。お前に選択肢を与えた,,,,Croft_face.png
,,,覚えはないぞ」,,,,
Brank,,,その瞳は、これからコンラッドと,,,,
,,,話をするという自分の立場を盾に,,,,
,,,ルーカスを脅していた。,,,,
Sentence,ルーカス,左,「……承知しました」,,,,Lucas_face.png
Sentence,クロフト,右,「ではパーシヴァル少佐。場所を,,,,Croft_glare.png
,,,変えよう。私の部屋に来い」,,,,
Sentence,コンラッド,中央,「はい。……ルーカス」,,,,Conrad_face.png
Brank,,,小声でコンラッドが近寄ってくる。,,,SCSE_sanpoaruku.wav,
Sentence,ルーカス,左,「お前。馬鹿な真似はよせよ、,,,,Lucas_face.png
,,,いいな？」,,,,
Sentence,コンラッド,中央,「俺は大丈夫だ、気にするな。,,,,Conrad_face.png
,,,それよりヘミングさんのこと……」,,,,
