コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Brank,,,ブラッドは廊下を歩きながら、,scbg_corridor.png,SCBGM_shireibunoiseandfoot.ogg,,
,,,司令部内にいる人間たちの忙しく,,,,
,,,行き交うさまを観察していた。,,,,
Brank,,,中には見慣れぬ顔がいくつもある。,,,,
Sentence,ブラッド,左,「失礼致します。トゥイガーです」,,,SCSE_wooddoorknock.wav,Brad_face.png
Sentence,ブラッド,左,「今朝は随分と司令部内が,scbg_office.png,,,Brad_face.png
,,,騒がしいですな」,,,,
Sentence,カークランド,右,「ああ。これを読めばわかる。,,,,Kirkland_face.png
,,,君に任せる新しい任務の詳細だ」,,,,
Brank,,,カークランドに手渡された資料に,,,SCSE_pasa.wav,
,,,視線を落とす。,,,,
Sentence,ブラッド,左,「……”機械奴隷回収計画”？」,,,,Brad_face.png
Sentence,カークランド,右,「君が偵察へ出向いている間に、,,,,Kirkland_face.png
,,,私の計画を進めさせてもらったよ」,,,,
Brank,,,資料をつかむブラッドの手に,,,SCSE_kamikusya.wav,
,,,力が込められる。,,,,
Sentence,ブラッド,左,「……そんな、まさか」,,,,Brad_bad.png
Sentence,カークランド,右,「過去の議会で君が却下した,,,,Kirkland_face.png
,,,私の草案が採用された」,,,,
Brank,,,ブラッドの表情を見た彼は、,,,,
,,,唇を歪めて笑う。,,,,
Sentence,カークランド,右,「実験的に機械奴隷を回収し、,,,,Kirkland_face.png
,,,人体を分解、”新たな命”である,,,,
,,,人型自立稼働兵器に作り変える。,,,,
Sentence,カークランド,右,そのための実験対象を回収せよ」,,,,Kirkland_face.png
Sentence,ブラッド,左,「そんな案を、女王陛下が,,,,Brad_angry.png
,,,採用するはずがない！,,,,
,,,なんと言って騙した！？」,,,,
Brank,,,自分の襟元を握るブラッドの手を、,,,,
,,,カークランドは片手で振り払った。,,,,
Sentence,カークランド,右,「……女王陛下の現在のご意向を,,,,Kirkland_face.png
,,,知らないのは君だ」,,,,
Sentence,ブラッド,左,「……なんだと？」,,,,Brad_angry.png
Sentence,カークランド,右,「君は二年のうちに忘れたのか？,,,,Kirkland_face.png
,,,国で施行される計画には女王陛下,,,,
,,,のサインが必須だと」,,,,
Brank,,,ブラッドは資料をめくり、,,,SCSE_isoidemekuru.wav,
,,,最後のページを開いた。,,,,
Brank,,,そこには流れるような美しい,,,,
,,,筆記体で書かれた彼女のサイン。,,,,
Brank,,,長年側にいたブラッドが、それを,,,,
,,,見まごうはずもなかった。,,,,
Sentence,カークランド,右,「この計画の必要性を説いたら,,,,Kirkland_face.png
,,,陛下は直々にサインを下さった」,,,,
Sentence,ブラッド,左,「そんなはずは……！」,,,,Brad_angry.png
Brank,,,ブラッドの勢いを嘲るように,,,,
,,,カークランドがため息をついた。,,,,
Sentence,カークランド,右,「長い時間を供にした女王陛下は,,,,Kirkland_face.png
,,,聡明にも意見を早々と切り替えた,,,,
,,,というに。,,,,
Sentence,カークランド,右,君はいつまで機械奴隷なんぞに,,,,Kirkland_face.png
,,,執着しているのだろうね」,,,,
Sentence,ブラッド,左,「……」,,,,Brad_angry.png
Sentence,カークランド,右,「この任務を任せたい」,,,,Kirkland_face.png
Sentence,ブラッド,左,「受けるものか！」,,,,Brad_angry.png
Sentence,カークランド,右,「君の意思は聞いてない。,,,,Kirkland_face.png
,,,拒んだところで、陛下の命令に,,,,
,,,背くことになるしな。,,,,
Sentence,カークランド,右,その場合、我が国の法律ではどう,,,,Kirkland_face.png
,,,なるかくらい、覚えているな？」,,,,
Sentence,ブラッド,左,「……私がこの任務につくことも、,,,,Brad_angry.png
,,,女王陛下のご意志だというのか」,,,,
Sentence,カークランド,右,「勿論。君の優秀さを買い、君で,,,,Kirkland_face.png
,,,あればこの計画を滞りなく進めて,,,,
,,,くれるだろうという判断だ」,,,,
Sentence,ブラッド,左,（この任務、,,,,Brad_angry.png
,,,受けるべきなのか……？）,,,,
Brank,,,ブラッドは唇を噛み締めた―――。,,,,
