コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Brank,,,ブラッドは、いつかオーブリーに,scbg_factory2.png,SCBGM_syuukaizyo.ogg,,
,,,聞いた彼らの集会所に来ていた。,,,,
Brank,,,深夜から待ち続けた身体は、,,,,
,,,氷のように冷たく冷え切っている。,,,,
Brank,,,寒さから来る眠気に落ちそうに,,,SCSE_foots.wav,
,,,なっていると、複数人の足音が,,,,
,,,近寄ってくることに気づいた。,,,,
Sentence,ブラッド,右,「……オーブリー君、だね」,,,,Brad_face.png
Sentence,オーブリー,左,「……あなたは……」,,,,Aubray_face.png
Sentence,ブラッド,右,「君に、頼みがあってきた」,,,,Brad_face.png
Brank,,,怪訝な表情のオーブリーに、,,,,
,,,ブラッドは頭を下げる。,,,,
Sentence,ブラッド,右,「……頼む。,,,,Brad_face.png
,,,聞き入れると言ってくれ」,,,,
Sentence,オーブリー,左,「……中身も聞かずに？」,,,,Aubray_face.png
Sentence,ブラッド,右,「……中身を知った上で君が,,,,Brad_face.png
,,,この頼みを断ったら、私は君を,,,,
,,,殺さねばならない」,,,,
Sentence,オーブリー,左,「……この人数相手に、,,,,Aubray_smile.png
,,,生きて帰れるとでも？」,,,,
Sentence,ブラッド,右,「……思っていないさ。それでも、,,,,Brad_face.png
,,,私はこの頼みを聞いた人を全て,,,,
,,,殺害する」,,,,
Brank,,,その言葉は、平凡な工場裏の,,,,
,,,景色にはひどく不似合いだった。,,,,
,,,ブラッドはまだ頭を上げない。,,,,
Sentence,オーブリー,左,「……いいでしょう。では、,,,,Aubray_smile.png
,,,取引をしましょう」,,,,
Sentence,ブラッド,右,「……どんな取引だ？」,,,,Brad_face.png
Sentence,オーブリー,左,「では、僕だけがまずその頼みを,,,,Aubray_face.png
,,,聞きましょう。ただし……,,,,
,,,お互いの銃口をここに当てて」,,,,
Brank,,,そういってこめかみを指差す,,,,
,,,オーブリー。,,,,
Sentence,オーブリー,左,「あなたは間近で僕の顔を見て、,,,,Aubray_face.png
,,,受け入れられないと悟った時点で,,,,
,,,僕を撃てばいい。,,,,
Sentence,オーブリー,左,僕も受け入れられないと思ったら、,,,,Aubray_face.png
,,,あなたを容赦なく撃つ」,,,,
Brank,,,それはつまり一方的なブラッドの,,,,
,,,命がけの申し入れに対して、,,,,
,,,彼も命をかけてくれるということ。,,,,
Sentence,ブラッド,右,（この青年ならば、もしくは……）,,,,Brad_face.png
Sentence,ブラッド,右,「……いいだろう。ありがとう」,,,,Brad_face.png
Sentence,オーブリー,左,「では、みんな中に入ってくれ」,,,,Aubray_face.png
Brank,,,オーブリーのその言葉に、,,,,
,,,他の者は不服そうに引き下がった。,,,,
Sentence,？？？,中央,「オーブリー！！,,,,Weeden_face.png
,,,そんなのダメよ！　やめて！！」,,,,
Brank,,,しかし、その中で一人の女性が、,,,,
,,,オーブリーの背中に取りすがった。,,,,
Sentence,オーブリー,左,「……ウィーデン。下がって。,,,,Aubray_bad.png
,,,危ないから」,,,,
Sentence,ウィーデン,中央,「嫌よ！　死んじゃうかも,,,,Weeden_face.png
,,,しれないんでしょう！？,,,,
