コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Sentence,オーブリー,左,「ねえウィーデン」,scbg_aubreyshouse.png,SCBGM_townnoise1.ogg,,Aubray_face.png
Sentence,ウィーデン,,「ん？」,,,,
Brank,,,ある日の夜。,,,,
,,,偶々ウィーデンと時間が重なり、,,,,
,,,一緒に家まで帰ることにした。,,,,
Sentence,オーブリー,左,「女性に思いを告げるときは、,,,,Aubray_face.png
,,,どんなふうに誘ったら良いかな」,,,,
Sentence,ウィーデン,,「……え！？　思いって……」,,,,
Sentence,オーブリー,左,「好きだって、言いたいんだ」,,,,Aubray_face.png
Brank,,,夕日に照らされたオーブリーの,,,,
,,,表情は真剣である。,,,,
Sentence,ウィーデン,,「え……そんなこと……、,,,,
,,,普通、私に相談する？」,,,,
Sentence,オーブリー,左,「ごめん。……でも、どうしても,,,,Aubray_face.png
,,,君の意見が欲しかったんだ」,,,,
Sentence,ウィーデン,,「え……？う、うん、わかった。,,,,
,,,……私はまっすぐ気持ちを,,,,
,,,伝えてくれたら、嬉しいけど……」,,,,
Sentence,オーブリー,左,「……うん、そうだよね、,,,,Aubray_face.png
,,,普通が良いか……。,,,,
,,,ありがとう。そうする」,,,,
Sentence,ウィーデン,,「……そっか、やっと……」,,,,
Sentence,オーブリー,左,「え？」,,,,Aubray_face.png
Sentence,ウィーデン,,「う、ううん！　何でもない！」,,,,
Sentence,オーブリー,左,「あ、そうだウィーデン。,,,,Aubray_smile.png
,,,今日、この後なにかある？,,,,
,,,うちに来ない？」,,,,
Sentence,ウィーデン,,「え、特になにもないけど……」,,,,
Sentence,オーブリー,左,「クラーラも母さんも久しぶりに,,,,Aubray_smile.png
,,,ウィーデンの顔を見たいって」,,,,
Sentence,ウィーデン,,「行く！」,,,,
Sentence,オーブリー,左,「じゃあ早く帰ろう」,,,,Aubray_smile.png
Brank,,,目尻を下げて笑うオーブリーの,,,,
,,,横顔を、ウィーデンははにかんだ,,,,
,,,笑顔で見つめていた。,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
