コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情,,背景,BGM,SE,表情
Brank,,,荷車を傾けて、荷台に載せていた,scbg_officeplant.png,,,,,scbg_officeplant.png,,死体を下ろす音,
,,,死体を下ろす。,,,,,,,,,
Sentence,ルーカス,左,「かなりの数だな……」,,,,Lucas_face.png,,,,,Lucas_face.png
Brank,,,あたりに漂う腐敗臭、,,,,,,,,,
,,,その中には金属が酸化したときに,,,,,,,,,
,,,発する特有の臭いも混じっていた。,,,,,,,,,
Brank,,,積み重なる死体の山。指令開始日,,,,,,,,,
,,,から今日まで、土葬もされず蝿や,,,,,,,,ハエの音？,
,,,蛆の餌になっている。,,,,,,,,,
Sentence,コンラッド,右,「クソ、何が最悪の事態だ……！」,,,,Conrad_face.png,,,,拳を地面に叩きつける音,Conrad_face.png
Sentence,ルーカス,左,「お前の怒りもわかるが、,,,,Lucas_face.png,,,,,Lucas_face.png
,,,今はそれを考える時じゃない」,,,,,,,,,
Brank,,,十字架を切るその右肩を引く。,,,,,,,,,
Sentence,コンラッド,右,「……俺の気持ちが分かるなら、,,,,Conrad_angry.png,,,,,Conrad_angry.png
,,,少しくらい時間をくれないか」,,,,,,,,,
Sentence,ルーカス,左,「すぐに戻れと言われている」,,,,Lucas_face.png,,,,,Lucas_face.png
Brank,,,ルーカスがそういうと、,,,,,,,,,
,,,コンラッドは立ち上がりゆっくり,,,,,,,,衣擦れの音,
,,,と振り返った。,,,,,,,,,
Sentence,ルーカス,左,（この表情には、怒りが露出して,,,,Lucas_face.png,,,,,Lucas_face.png
,,,いる……）,,,,,,,,,
Sentence,コンラッド,右,「ただ命令に従うだけが俺たちの,,,,Conrad_angry.png,,,,,Conrad_angry.png
,,,存在意義なのか！？」,,,,,,,,,
Brank,,,コンラッドは、ルーカスの手を,,,,,,,,,
,,,払い除けた。,,,,,,,,,
Sentence,コンラッド,右,「クロフト准将のせいで、死なず,,,,Conrad_angry.png,,,,,Conrad_angry.png
,,,に済んだ人たちまでも殺害されて,,,,,,,,,
,,,いる！　俺は納得できない！」,,,,,,,,,
Brank,,,彼女が機械奴隷を無闇に殺害して,,,,,,,,,
,,,いるのは、,,,,,,,,,
,,,誰の目にも明らかだった。,,,,,,,,,
Sentence,ルーカス,左,「しかし、彼らは機械奴隷だ。,,,,Lucas_face.png,,,,,Lucas_face.png
,,,人間扱いはされない」,,,,,,,,,
Sentence,コンラッド,右,「……それでも、人間だ……」,,,,Conrad_angry.png,,,,,Conrad_angry.png
Sentence,ルーカス,左,「お前個人の意見だけでは、,,,,Lucas_face.png,,,,,Lucas_face.png
,,,国は動かない」,,,,,,,,,
Sentence,コンラッド,右,「お前の言葉はいつも正しいよ。,,,,Conrad_angry.png,,,,,Conrad_angry.png
,,,だが人間にとっては常に正しい,,,,,,,,,
,,,ことが最善とは限らない！」,,,,,,,,,
Brank,,,そこまで言って、,,,,,,,,,
,,,コンラッドがはっと口をつぐんだ。,,,,,,,,,
Sentence,ルーカス,左,「言いたいことは全てか」,,,,Lucas_face.png,,,,,Lucas_face.png
Sentence,コンラッド,右,「……ルーカス、すまない。,,,,Conrad_face.png,,,,,Conrad_face.png
,,,その、俺も勢いで……」,,,,,,,,,
Sentence,ルーカス,左,「構わん。人間ではない俺が何も,,,,,,,,,
,,,感じないのは事実だ」,,,,,,,,,
Sentence,コンラッド,右,「……」,,,,Conrad_face.png,,,,,Conrad_face.png
Sentence,ルーカス,左,「……いつものように、そういう,,,,Lucas_smile.png,,,,,Lucas_smile.png
,,,ことを言うなと、怒らないのか？」,,,,,,,,,
Sentence,コンラッド,右,「……今の俺に何かを言う資格は,,,,Conrad_face.png,,,,,Conrad_face.png
,,,ない……」,,,,,,,,,
Sentence,ルーカス,左,（俺が人間だったなら、,,,,Lucas_face.png,,,,,Lucas_face.png
,,,コンラッドの感じている理不尽や,,,,,,,,,
,,,矛盾、怒りもすべてわかって,,,,,,,,,
,,,やれたのだろうか……？）,,,,,,,,,
Brank,,,帰りの道は沈黙が二人を包み、,,,,,,,,靴音、響くやつ,
,,,いつもより自室が遠く感じた。,,,,,,,,,
