コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,ブラッド,左,「ヘミング！おれパンを盗って,scbg_slum.png,SCBGM_townnoise1.ogg,,Brad_boy.png
,,,くるから、ちゃんと寝てろよ？」,,,,
Sentence,ヘミング,右,「うんー。ありがと」,,,,Heming_boy.png
Brank,,,ブラッド少年は、粗末な作りの,,,,
,,,小屋を飛び出した。,,,,
Brank,,,二人共、親はとっくに他界した。,,,,
,,,子ども二人で生活をしているが、,,,,
Brank,,,スラムには似たような境遇の,,,,
,,,子どもが多く大人も,,,,
,,,優しくはない。,,,,
Sentence,ブラッド,左,（あのパン屋は15時すぎが,,,,Brad_boy.png
,,,狙い目だから……）,,,,
Brank,,,すでに潰れた時計屋の硝子の中で、,,,,
,,,まだ動いている振り子時計を見た。,,,,
Sentence,ブラッド,左,（そろそろ、いい頃かな……？）,,,,Brad_boy.png
Brank,,,走り出した少年の足は速い。,,,SCSE_dash.wav,
Brank,,,ブラッドは店先に人のいない時を,,,,
,,,見計らってパンを３つ手に取った。,,,,
Sentence,店主,右,「あ、こらガキ！！」,,,,Master.png
Sentence,ブラッド,左,「ごめんなさい！」,,,,Brad_boy.png
Brank,,,孤独に生きる少年にはその言葉に,,,,
,,,こめる罪悪感もわからない。,,,,
Brank,,,ただ捕まった時の言い訳のために,,,,
,,,しか使ったことはなかった。,,,,
Brank,,,小屋に戻るとヘミングは,scbg_slum.png,,,
,,,すでに眠りに落ちていた。,,,,
Sentence,ブラッド,左,「ただいま……」,,,,Brad_boy.png
Brank,,,ヘミングの隣に寝転がる。,,,,
,,,彼の体温が、唯一信じられる熱源,,,,
,,,であるということを知っていた。,,,,
Sentence,ブラッド,左,（早くチャンバラがしたいな……）,,,,Brad_boy.png
,,,少年は目を閉じ、,,,,
,,,夢の旅路へと漕ぎ出した,,,,
Brank,,,ブラッドが14歳の春。,scbg_slum.png,,,
Brank,,,のどかな昼下がり。,,,,
Brank,,,二人の少年は青年となり,,,,
,,,幼少期からの唯一の娯楽であった,,,,
,,,チャンバラで汗を流している。,,,,
Sentence,ヘミング,右,「そろそろ休もう」,,,,Heming_seinen.png
Sentence,ブラッド,左,「もうくたびれたのか？,,,,Brad_seinen.png
,,,それじゃいつまで経っても,,,,
,,,おれには勝てないな！」,,,,
Brank,,,床に座りこんだヘミングをからかっていると、,,,,
,,,視界の端に豪華な,,,,
,,,馬車が止まっているのが見えた。,,,,
Sentence,ブラッド,左,「ヘミング、ちょっと待ってろ！,,,,Brad_seinen.png
,,,いい獲物が来たかもしれない！」,,,,
Sentence,ヘミング,右,「成果を期待してるよ！」,,,,Heming_seinen.png
Brank,,,スラム育ちの彼らには、金になり,,,,
,,,そうなものを見分ける目がある。,,,,
Brank,,,ブラッドは馬車から金目の物を盗もうと、,,,,
,,,ゆっくり近づいた。,,,,
Brank,,,その馬車に描かれている紋章が、,,,,
,,,王室のものだとは知る由もない。,,,,
Brank,,,馬車から一人の女性が、優雅に,,,,
,,,降りてくるのを物陰から見た。,,,,
Sentence,ブラッド,左,（あの人を人質にしてもいいかも,,,,Brad_seinen.png
,,,しれない……）,,,,
Sentence,女性,右,「そこに隠れている青年」,,,,Victoria_face.png
Brank,,,ぴしゃりと澄んだ声が、ブラッドを呼びつけた。,,,,
Sentence,ブラッド,左,（オレのことか……？どうする？,,,,Brad_seinen.png
,,,素直に出ていって勝算はあるか？）,,,,
Sentence,女性,右,「その物陰に隠れているあなたの,,,,Victoria_face.png
,,,剣さばきを見ていました。すぐ,,,,
,,,こちらに来なさい」,,,,
Brank,,,その声に不思議とひかれて、,,,,
,,,物陰を出る。,,,,
Brank,,,彼女の元へたどり着くためには,,,,
,,,周辺の衛兵たちの鋭い視線に,,,,
,,,耐えなくてはならなかった。,,,,
Sentence,女性,右,「私と一緒にいらっしゃい」,,,,Victoria_face.png
Brank,,,ブラッドの人生は、,,,,
,,,ここからはじまったと言っても,,,,
,,,過言ではない。,,,,
Sentence,士官,右,「トゥイガーさん。,scbg_office.png,,SCSE_wooddoorknock.wav,Shikan.png
,,,カークランド殿がお呼びです」,,,,
Brank,,,（随分昔の夢を見たな……）,,,,
Sentence,ブラッド,左,「ああ、わかった。すぐ行くよ」,,,,Brad_face.png
Brank,,,自室のドアをノックする士官に,,,,
,,,そう答えると、ブラッドは胸を,,,,
Brank,,,抑え、溢れそうになった感情に,,,,
,,,蓋をした。,,,,
