コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「エリオット。今日の回収数が,scbg_officeno9.png,SCBGM_shireibunoiseandfoot.ogg,,,,,,,,,,,,,,,,,,,,
,,,目標に満たないぞ」,,,,,,,,,,,,,,,,,,,,,,
Sentence,エリオット,,「……申し訳ございません」,,,,,,,,,,,,,,,,,,,,,,
,,,うつむくエリオットに、,,,,,,,,,,,,,,,,,,,,,,
,,,サーベルの切っ先を向ける。,,,,,,,,,,,,,,,,,,,,,,
,,,彼女に、それが凶器であるという,,,,,,,,,,,,,,,,,,,,,,
,,,認識はない。,,,,,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「自分の回収率を見てみろ。,,,,,,,,,,,,,,,,,,,,,,
,,,うちの師団で一番低いぞ」,,,,,,,,,,,,,,,,,,,,,,
Sentence,エリオット,,「……承知しています」,,,,,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「うちに”役立たず”は不要だ。,,,,,,,,,,,,,,,,,,,,,,
,,,この成績で、いつまでもここに,,,,,,,,,,,,,,,,,,,,,,
,,,いられると思うな」,,,,,,,,,,,,,,,,,,,,,,
Brank,,,ルーカスは、コンラッドが行動に,,,,,,,,,,,,,,,,,,,,,,
,,,出るときを見極めようとしていた。,,,,,,,,,,,,,,,,,,,,,,
Sentence,クロフト,右,「なんだパーシヴァル少佐。,,,,,,,,,,,,,,,,,,,,,,
,,,文句でもあるのか？」,,,,,,,,,,,,,,,,,,,,,,
Sentence,コンラッド,中央,「……」,,,,,,,,,,,,,,,,,,,,,,
Sentence,ルーカス,左,「おい、コンラッド」,,,,,,,,,,,,,,,,,,,,,,
Brank,,,肘でつついても、コンラッドは,,,,,,,,,,,,,,,,,,,,,,
,,,彼女を睨みつけたまま動かない。,,,,,,,,,,,,,,,,,,,,,,
Sentence,クロフト,,「生意気な目でこちらを見るな」,,,,,,,,,,,,,,,,,,,,,,
