コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
,,,その日の仕事が終わったのは夕方。,scbg_hemingshouse_night.png,SCBGM_shireibunaiyoru.wav,,
Sentence,オーブリー,左,（さすがに、三日連続で,,,,Aubray_face.png
,,,寝ずの番は辛いな……）,,,,
Brank,,,ガス灯の下を歩いていると眼前に,,,,
,,,よく見知った影を見つけた。,,,,
Sentence,オーブリー,左,「もしかして、パン屋のお嬢さん,,,,Aubray_face.png
,,,ではないですか？」,,,,
Brank,,,その声で振り向いた少女は、,,,,
,,,たしかにオーブリーが,,,,
,,,恋い焦がれていた相手であった。,,,,
Sentence,パン屋の娘,右,「あ、はい……。こんばんは」,,,,Lily_face.png
Sentence,オーブリー,左,「何か、お探しですか？」,,,,Aubray_face.png
Sentence,パン屋の娘,右,「いえ……」,,,,Lily_face.png
Brank,,,娘は首を振るが、視線は何かを,,,,
,,,探して泳いでいる。,,,,
Brank,,,オーブリーが首を傾げた途端、,,,,
,,,近くで猫の声がした。,,,SCSE_neko.wav,
Sentence,パン屋の娘,右,「キャメル！？どこなの？」,,,,Lily_face.png
Sentence,オーブリー,左,「キャメル……？」,,,,Aubray_face.png
Sentence,パン屋の娘,右,「私の愛猫なんです……。,,,,Lily_face.png
,,,キャメル！どこにいるの！？」,,,,
Brank,,,少女は背を向けて走っていく。,,,,
Sentence,オーブリー,左,「待って！　一緒に探します！」,,,,Aubray_face.png
Brank,,,娘の歩幅は狭く、オーブリーは,,,,
,,,すぐに隣に並ぶことができた。,,,,
Sentence,パン屋の娘,右,「ありがとうございます……」,,,,Lily_smile.png
Brank,,,二人の気を引くように、,,,,
,,,もう一度路地の暗がりから,,,,
,,,鳴き声が聞こえてきた。,,,SCSE_neko.wav,
Sentence,オーブリー,左,「あっちだ。行きましょう！」,,,,Aubray_face.png
Brank,,,二人はキャロルを探して夜の街を,,,,
,,,さまよった。,,,,
Brank,,,そして。,scbg_hemingshouse_night.png,,,
Sentence,パン屋の娘,右,「本当にありがとうございました」,,,,Lily_smile.png
Sentence,オーブリー,左,「力になれたみたいで良かった」,,,,Aubray_smile.png
Sentence,パン屋の娘,右,「一人では心細かったので、,,,,Lily_smile.png
Brank,,,私こそ助かりました。また、,,,,
,,,お店にも来てくださいね」,,,,
Sentence,オーブリー,左,「はい。では……」,,,,Aubray_smile.png
Sentence,パン屋の娘,右,「ええ。さよなら」,,,,Lily_smile.png
Brank,,,娘は大きく頭を下げると、踵を,,,SCSE_dash.wav,
,,,返した。,,,,
Brank,,,彼女の後姿を見ていると、自分の,,,,
,,,中にじわりと離れがたい気持ちが,,,,
,,,広がっていくのがわかる。,,,,
Sentence,オーブリー,左,「あ、あの！」,,,,Aubray_smile.png
Brank,,,オーブリーは拳を握りしめながら、,,,,
,,,娘の背中に向かって叫んだ。,,,,
Sentence,パン屋の娘,右,「はい……？」,,,,Lily_smile.png
Sentence,オーブリー,左,「お名前を、教えてください」,,,,Aubray_smile.png
Sentence,パン屋の娘,右,「私、リリーと言います」,,,,Lily_smile.png
Sentence,オーブリー,左,「リリーさん……素敵なお名前だ」,,,,Aubray_smile.png
Sentence,リリー,右,「ありがとう」,,,,Lily_smile.png
Sentence,オーブリー,左,「あ、すみません、足止めして,,,,Aubray_smile.png
,,,しまったみたいだ。,,,,
,,,気をつけて帰ってください」,,,,
Sentence,リリー,右,「はい。ではおやすみなさい」,,,,Lily_smile.png
Brank,,,彼女はもう一度大きくお辞儀をし、,,,SCSE_dash.wav,
,,,振り返ることなく去っていった。,,,,
