コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Brank,,,オーブリーはベッドに寝転び、,scbg_aubrershousein.png,SCBGM_aubrey_room.ogg,,
,,,いつもと変わらぬ天井を見つめて,,,,
,,,いた。,,,,
Sentence,オーブリー,中央,（僕は、人間じゃないのか……？,,,,Aubray_sad.png
,,,身体が機械になっても、僕自身は,,,,
,,,人間だと思ってた……）,,,,
Brank,,,彼女の笑顔を思い浮かべようと,,,,
,,,しても、最後に見た彼女の,,,,
,,,引きつった表情しか思い出せない。,,,,
Sentence,オーブリー,中央,（僕が人間じゃないとしたら……,,,,Aubray_sad.png
,,,何が人間の定義なんだ……？）,,,,
Brank,,,オーブリーが目を閉じた瞬間。,,,,
,,,窓を叩く音がして、目を開けた。,,,SCSE_garasumado.wav,
Sentence,オーブリー,中央,（……ウィーデンか……）,,,,Aubray_face.png
Brank,,,しかし体を動かす気にならない。,,,,
Sentence,ウィーデン,右,「ねえ、オーブリー！,,,,Weeden_face.png
,,,いるんでしょ？」,,,,
Brank,,,その声に、オーブリーはようやく,,,,
,,,身体を起こした。,,,,
,,,窓を開けてウィーデンを見下ろす。,,,,
Sentence,オーブリー,中央,「……悪いけど、今日はそういう,,,,Aubray_angry.png
,,,気分じゃないんだ」,,,,
Sentence,ウィーデン,右,「え？　何、なんかあったの？」,,,,Weeden_face.png
Sentence,オーブリー,,「……どうせウィーデンには,,,,Aubray_angry.png
,,,何もわからないよ」,,,,
Sentence,ウィーデン,右,「オーブリー？ちょっと……！」,,,,Weeden_face.png
Brank,,,窓を介したその声を無視して、,,,SCSE_kinuzure.wav,
,,,もう一度布団に潜った。,,,,
Sentence,オーブリー,中央,（人間ってなんだ？　僕は本当に,,,,Aubray_face.png
,,,人間じゃないのか？,,,,
Sentence,オーブリー,中央,動物と人間は理性の有無によって,,,,Aubray_face.png
,,,わけられることがある。,,,,
Sentence,オーブリー,中央,理性があって身体が機械の僕は、,,,,Aubray_face.png
,,,一体何者なんだ？,,,,
Sentence,オーブリー,中央,そもそも僕は、,,,,Aubray_face.png
,,,どうしてこんな身体に……？）,,,,
Brank,,,オーブリーは布団をはねのけて,,,SCSE_kinuzure.wav,
,,,棚の前に立った。,,,,
Brank,,,ガラス部分に映る自分の姿が、,,,,
,,,いつになく歪に見える。,,,,
Sentence,オーブリー,中央,（1812年、労働者の機械化がはじまった。,,,,Aubray_face.png
,,,それは資本家と政府の画策による、,,,,
,,,労働力搾取のために……）,,,,
Brank,,,オーブリーの表情に、憎悪が宿る。,,,,
Sentence,オーブリー,中央,（……思えば僕たちは、,,,,Aubray_face.png
,,,どうして政府に反乱する道を,,,,
,,,選ばなかったのだろう。,,,,
Sentence,オーブリー,中央,どうして僕たちは、自ら奴隷へと,,,,Aubray_face.png
,,,成り下がった？,,,,
Sentence,オーブリー,中央,今こそ、反旗を翻す時だ……――）,,,,Aubray_veryangry.png
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
