コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Brank,,,いよいよ町に差し掛かる。,scbg_hemingshouse.png,SCBGM_townnoise1.ogg,,
Brank,,,朝の活気にまぎれて、,,,,
,,,焼きたてのパンの香りが,,,,
,,,オーブリーの鼻をくすぐった。,,,,
Sentence,パン屋の娘,中央,「いまパン焼き立てですよー！,,,,Lily_smile.png
,,,いかがですかー？」,,,,
Brank,,,鈴の鳴るような声の少女が、,,,,
,,,街をゆく人々に声をかけている。,,,,
Sentence,オーブリー,左,「……今日も、いる」,,,,Aubray_face.png
Sentence,ウィーデン,右,「え？　ああ。パン屋の子か。,,,,Weeden_face.png
,,,毎朝頑張ってるよね」,,,,
Sentence,オーブリー,左,「……うん」,,,,Aubray_face.png
Sentence,オーブリー,左,（やっぱり、素敵な女性だ……）,,,,Aubray_face.png
Sentence,パン屋の娘,中央,「おはようございます。,,,,Lily_smile.png
,,,……お一ついかがですか？」,,,,
Sentence,ウィーデン,右,「あ、期待させちゃったかも……」,,,,Weeden_face.png
Brank,,,笑顔で近づいてくるパン屋の娘に、,,,,
,,,ウィーデンが焦りを見せる。,,,,
Sentence,ウィーデン,右,「ほらオーブリー。早く行こ？」,,,,Weeden_face.png
Sentence,パン屋の娘,中央,「これからお仕事ですか？」,,,,Lily_smile.png
Sentence,ウィーデン,右,「あ、まあ……。,,,,Weeden_face.png
,,,ちょ、ちょっと、オーブリー！？,,,,
,,,パンなんか買っていくの？」,,,,
Sentence,オーブリー,左,「……いや、今日はすみません、,,,,Aubray_smile.png
,,,ちょっと……」,,,,
Sentence,パン屋の娘,中央,「そうですか……。,,,,Lily_smile.png
,,,お仕事頑張ってくださいね」,,,,
Brank,,,そういってパン屋の娘は微笑みを,,,,
,,,残し、背を向ける。,,,,
Sentence,ウィーデン,右,「ん、もう。ほら、早く行こうよ」,,,,Weeden_face.png
Sentence,オーブリー,左,「……ああ」,,,,Aubray_face.png
Brank,,,オーブリーはパン屋の娘から,,,,
,,,視線をそらせないまま、,,,,
Brank,,,ウィーデンに背中を押されて,,,,
,,,その場を去った。,,,,
