コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Sentence,ウィーデン,右,「今日も夜番？」,scbg_aubreyshouse.png,SCBGM_townnoise1.ogg,,Weeden_face.png
Sentence,オーブリー,左,「うん、そうだよ」,,,,Aubray_face.png
Sentence,ウィーデン,右,「クラーラちゃんのため？」,,,,Weeden_face.png
Sentence,オーブリー,左,「ああ」,,,,Aubray_face.png
Sentence,ウィーデン,右,「それで身体を壊したら、,,,,Weeden_face.png
,,,元も子もないのよ？って言っても、,,,,
,,,あんたが聞くわけないよね」,,,,
Sentence,オーブリー,左,「うん、ごめん」,,,,Aubray_smile.png
Brank,,,まだ幼い妹の体に、あの闇医者の,,,,
,,,メスが入ると思うと、自分のこと,,,,
,,,のように悠長に構えていられない。,,,,
Brank,,,この頃、勤務時間を伸ばしている,,,,
,,,のはそのせいだった。,,,,
Sentence,オーブリー,左,「いいんだ。おかげで工場長に,,,,Aubray_smile.png
,,,気に入ってもらえているから。,,,,
,,,そうすれば賃金も増えるかも」,,,,
Sentence,ウィーデン,右,「……そうだね」,,,,Weeden_face.png
Brank,,,ウィーデンは、言葉を飲み込んだ。,,,,
,,,彼の頑固さをよく知っているのだ。,,,,
Sentence,ローチ,,「ウィーデン！オーブリー！,,,,Roache_face.png
,,,おはよう」,,,,
Brank,,,二人が歩いていると,,,,
,,,ローチに声をかけられた。,,,,
Sentence,ローチ,,「今日も二人一緒かい？,,,,
,,,仲が良いねえ」,,,,
Sentence,ウィーデン,右,「同じ職場なんだから、,,,,Weeden_face.png
,,,一緒にいくのは当然でしょ？」,,,,
Sentence,ローチ,,「ハハハ。そういやオーブリー。,,,,
,,,お前のおっかさん、そろそろ嫁が,,,,
,,,ほしいってさ。,,,,
Sentence,ローチ,,……ウィーデンはどうだ？」,,,,
Brank,,,小さなコミュニティの中では、,,,,
,,,互いの噂話が話の中心になる。,,,,
,,,二人共それをよく知っていた。,,,,
Sentence,オーブリー,左,「よしてくださいよ。,,,,Aubray_smile.png
,,,ウィーデンには僕よりもっと,,,,
,,,逞しい男の人が似合う」,,,,
Sentence,ウィーデン,,「……」,,,,
Sentence,ローチ,,「ハハ。ウィーデン、振られたな。,,,,
,,,ま、もう二人とも、いい年なんだ。,,,,
,,,仕事も大事だが結婚も捨てるなよ」,,,,
Sentence,オーブリー,左,「わかっていますよ」,,,,Aubray_smile.png
Brank,,,二人はローチの前を通り抜けた。,,,,
,,,しばらく二人の間を沈黙が占める。,,,,
Sentence,ウィーデン,右,「……ローチおじさんってば、,,,,Weeden_face.png
,,,会うたびにいつもあれだもんね」,,,,
Sentence,オーブリー,左,「そうだね」,,,,Aubray_face.png
Sentence,ウィーデン,右,「だけど、オーブリー…,,,,Weeden_face.png
,,,おばさんにそんなこと,,,,
,,,言われてたんだ？」,,,,
Sentence,オーブリー,左,「ああ。昨晩その話をされた」,,,,Aubray_face.png
Sentence,ウィーデン,右,「そう。……お母さん、何て？」,,,,Weeden_face.png
Sentence,オーブリー,左,「ローチおじさんの言ってた通り。,,,,Aubray_face.png
,,,いい人はいないのかって」,,,,
Brank,,,前を見ながら話すオーブリーの,,,,
,,,横顔を、ウィーデンが見つめる。,,,,
Sentence,ウィーデン,右,「そうなんだ。何て答えたの？,,,,Weeden_face.png
,,,まあ私は別に……オーブリーでも、,,,,
,,,……いいと思ってるよ？」,,,,
Sentence,オーブリー,左,「まだ思いを告げてはいないけど、,,,,Aubray_face.png
,,,いるんだ。そういう人が」,,,,
Sentence,ウィーデン,右,「……そうなんだ。早く思いを,,,,Weeden_face.png
,,,伝えられるといいね」,,,,
Brank,,,そういうウィーデンの頬は、,,,,
,,,真っ赤に染まっていた。,,,,
