コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,ブラッド,左,「失礼します。,scbg_corridor_night.png,SCBGM_shireibunaiyoru.wav,SCSE_wooddoorknock.wav,Brad_face.png
,,,トゥイガーが戻りました」,,,SCSE_wooddooropen.wav,
Sentence,カークランド,右,「入りたまえ。待っていたよ」,,,,Kirkland_face.png
Sentence,カークランド,右,「二年の偵察、ご苦労だったね」,scbg_office_night.png,,,Kirkland_face.png
Brank,,,資料をどけて見えたカークランドの顔は、,,,,
,,,二年前より少し老け込んだようである。,,,,
Sentence,カークランド,右,「今日はもう遅いから休むと良い。,,,,Kirkland_face.png
,,,また明日の朝、来てくれるかね。,,,,
Sentence,カークランド,右,帰ってきて早々悪いんだが、,,,,Kirkland_face.png
,,,君に任せたい任務がある」,,,,
Brank,,,高慢そうな態度は相変わらずだが、,,,,
,,,今のブラッドはそれさえ,,,,
,,,鼻につかない。,,,,
Brank,,,やっと女王陛下のもとに,,,,
,,,帰ってこられたという事実が、,,,,
,,,彼の心を温めている。,,,,
Sentence,ブラッド,左,「いえ、構いません。,,,,Brad_smile.png
,,,では、明日また参りましょう」,,,,
Sentence,カークランド,右,「頼むよ」,,,,Kirkland_face.png
Brank,,,ブラッドは敬礼をして、すぐさま,,,,
,,,踵を返した。,,,,
,,,その足で女王陛下の居室へ向かう。,,,,
Sentence,守衛,,「ここは立入禁止です」,scbg_corridor.png,SCBGM_shireibunaiyoru.wav,,Guardman_face.png
Sentence,ブラッド,左,「悪いが、トゥイガーが来たと,,,,Brad_face.png
,,,女王陛下にお伝えしてくれ。,,,,
,,,そうすれば入室許可が降りるから」,,,,
Brank,,,これだけで女王陛下への面会が,,,,
,,,許される間柄である。,,,,
Brank,,,二年前、ここにいた頃にも,,,,
,,,よく使っていた手段だ。,,,,
Sentence,守衛,,「申し訳ございませんが、,,,,Guardman_face.png
,,,トゥイガー元陸軍大将であっても,,,,
,,,ここを通すなと言われております」,,,,
Sentence,ブラッド,左,「なんだって？」,,,,Brad_face.png
Sentence,守衛,,「こちらへどうぞ」,,,,Guardman_face.png
Brank,,,案内されたのは側近たちが,,,,
