コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,ヘミング,右,「やあ、ブラッド！」,scbg_hemingshouse.png,SCBGM_heming.ogg,,Heming_smile.png
Sentence,ブラッド,左,「ああ」,,,,Brad_smile.png
Brank,,,ブラッドは片手を上げて応えた。,,,,
,,,ヘミングは持っていた鍬を下ろし、,,,,
,,,ブラッドに寄ってきてくれる。,,,,
Sentence,ヘミング,右,「疲れた顔をしているな」,,,,Heming_smile.png
Sentence,ブラッド,左,「親友はなんでもお見通しという,,,,Brad_smile.png
,,,わけか」,,,,
Sentence,ヘミング,右,「ああ。そうだ。,,,,Heming_smile.png
,,,そういやこの間、お前のところの,,,,
,,,若いのが来たよ。,,,,
Sentence,ヘミング,右,二週間ぶりに妻に会いに行くと,,,,Heming_smile.png
,,,言っていた」,,,,
Brank,,,ヘミングの言葉で、コンラッドが,,,,
,,,以前妻に会いに行くと言っていた,,,,
,,,のを思い出す。,,,,
Sentence,ヘミング,右,「彼はいつも寄ってくれるからね。,,,,Heming_smile.png
,,,助かるよ」,,,,
Sentence,ブラッド,左,「あいつはそういうやつなんだ」,,,,Brad_smile.png
Sentence,ヘミング,右,「良い青年だよ。,,,,Heming_smile.png
,,,もう昼メシは食ったか？」,,,,
Sentence,ブラッド,左,「……そうさせていただこうかな」,,,SCSE_wooddoorclose.wav,Brad_smile.png
Brank,,,ヘミング宅での食事の後。,scbg_hemingshouse.png,SCBGM_heming.ogg,,
,,,寄ったヘミングは水のような,,,,
,,,ワインで顔を赤くし、,,,,
,,,陽気にブラッドを見送ってくれる。,,,,
Sentence,ヘミング,右,「じゃあ、気をつけて帰れ」,,,,Heming_smile.png
Sentence,ブラッド,左,「ああ。お前も、もう早く寝た,,,,Brad_smile.png
,,,ほうがいい。これ以上飲むなよ」,,,,
Brank,,,あの程度のアルコール度数では,,,,
,,,ヘミングのように陽気に酔えない,,,,
,,,自分が悔しい。,,,,
Brank,,,ブラッドは手を振り、,,,,
,,,ヘミング宅を後にした。,,,,
Brank,,,まだ町は暗くなる前で、,scbg_town.png,SCBGM_townnoise1.ogg,,
,,,随分と長い間ヘミングの家で,,,,
Brank,,,過ごしたような気がしていた,,,,
,,,ブラッドは妙な心地になった。,,,,
Brank,,,街の喧騒に耳を傾けていると、,,,,
,,,背後をつけられていることに,,,,
,,,気づく。,,,,
Sentence,ブラッド,左,（この頃よく噂を聞く、,,,,Brad_face.png
,,,反乱集団の奴らか……？）,,,,
Brank,,,町のガラスケースで背後を確認し、,,,,
,,,人通りの少ない通りへ誘導する。,,,,
Brank,,,細い路地に入ると背後の足音が,scbg_aubreyshouse.png,SCBGMshizuka_mach.ogg,,
,,,大きくなりそれはすぐブラッドを,,,,
,,,通り越した。,,,,
Sentence,？？？,右,「あんた、政府の人間だな？」,,,,Sac_face.png
Sentence,？？？,中央,「サック。手は出すなよ」,,,,Aubray_face.png
Sentence,？？？,右,「出さないさ。,,,,Sac_face.png
,,,話のわかる相手ならな」,,,,
Sentence,？？？,中央,「それは僕が決めることだ。,,,,Aubray_face.png
,,,申し訳ないのですが、,,,,
,,,あなたの身分に用事がある」,,,,
Brank,,,そこまで来てようやくブラッドを,,,,
,,,見た。,,,,
Brank,,,機械奴隷らしい青年は、柔和に,,,,
,,,微笑む。,,,,
Brank,,,しかし、その顔の下には心まで,,,,
,,,凍りそうな冷酷さも見える。,,,,
Sentence,オーブリー,中央,「申し遅れました、,,,,Aubray_smile.png
,,,僕はオーブリーと言います。,,,,
Brank,,,あなたは政府でもそれなりの,,,,
,,,地位の御仁とお見受けしました。,,,,
,,,護衛もなしによく出てきましたね」,,,,
Sentence,ブラッド,左,「ああ、友人の家に行くのに,,,,Brad_face.png
,,,国のお金を使うつもりはないよ」,,,,
Sentence,オーブリー,中央,「そうですか。,,,,Aubray_smile.png
,,,その心がけが仇になりましたね。,,,,
,,,単刀直入に聞きます。,,,,
Sentence,オーブリー,中央,あなたたちがこの頃街に出て、,,,,Aubray_smile.png
,,,私の仲間を”回収”していますよね。,,,,
Sentence,オーブリー,中央,あの回収役の中には、,,,,Aubray_smile.png
,,,機械の者がいますよね？」,,,,
Sentence,ブラッド,左,「……どう答えるのがこの場合、,,,,Brad_face.png
,,,君たちにとって都合が良いのか,,,,
,,,わからないから、率直に言おう。,,,,
Sentence,ブラッド,左,そのとおりだが、,,,,Brad_face.png
,,,なぜ知っている？」,,,,
Sentence,オーブリー,中央,「以前、あなたたちのお仲間を,,,,Aubray_smile.png
,,,二人、うちの仲間が間違って,,,,
,,,殺害してしまいました。,,,,
Sentence,オーブリー,中央,そのうち一人の遺体は朽ちた。,,,,Aubray_face.png
,,,しかしもう一体は、金属片になり,,,,
,,,さびついた」,,,,
Sentence,ブラッド,左,（……その一体は、間違いなく,,,,Brad_face.png
,,,エリオットのバディである、,,,,
