コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Sentence,ヴィンス・ニックス,,「クソ、トニーも随分前に,scbg_factory2.png,SCBGM_factorynoise.ogg,,Nicks_face.png
,,,やられてた！」,,,,
Brank,,,ヴィンスが壁を強く叩く。,,,SCSE_kabedon.wav,
,,,政府の精鋭と謳われた,,,,
,,,第9特別歩兵師団は街の,,,,
Brank,,,機械奴隷たちを今日も,,,,
,,,脅かしていた。,,,,
Sentence,レオ・アストン,,「奴らは最新のピストルを使って,,,,Leo_face.png
,,,るんだ！こっちが太刀打ちできる,,,,
,,,わけがない！」,,,,
Sentence,ルイス・マーニー,,「しかも女だろうがまだ15だ,,,,Lwis_face.png
,,,ろうが関係ない。,,,,
,,,トニーの妹だって数日前には…」,,,,
Sentence,ヴィンス・ニックス,,「オーブリー！そりゃ偵察も,,,,Nicks_face.png
,,,大事だろうがまずはこっちの身を,,,,
,,,守ることの方が大事なんじゃ,,,,
,,,ないのか！？このままじゃここに,,,,
,,,いるメンバーもいつかは……」,,,,
Brank,,,弱気になるヴィンスの肩に、,,,,
,,,オーブリーは優しく手をかけた。,,,,
Sentence,オーブリー,,「ヴィンス、わかってる。,,,,Aubray_smile.png
,,,考えてるよ」,,,,
Sentence,ヴィンス・ニックス,,「本当か？」,,,,Nicks_face.png
Sentence,オーブリー,,「うん、心配しないで」,,,,Aubray_smile.png
Sentence,ヴィンス・ニックス,,「…だが…これまでに出した,,,,Nicks_face.png
,,,犠牲の数が多すぎる」,,,,
Sentence,オーブリー,,「…そうだね。,,,,Aubray_face.png
,,,早くどうにかしなくちゃ。,,,,
Sentence,オーブリー,,僕は町に出るから、誰かに何か,,,,Aubray_face.png
,,,言われたらそう伝えておいて」,,,,
Brank,,,オーブリーはその場にいた,,,,
,,,仲間たちの返事も待たずに,,,,
,,,踵を返した。,,,SCSE_sunanoue.wav,
Sentence,オーブリー,,（…仲間にもそろそろハッタリが,scbg_town.png,SCBGM_townnoise1.ogg,,Aubray_face.png
,,,効かなくなってる…。,,,,
,,,どうするべきかな…。,,,,
Sentence,オーブリー,,学のない奴らだとは思っていたが、,,,,Aubray_face.png
