コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Brank,,,コンラッドが部屋を去ってから、,scbg_corridor_night.png,SCBGM_shireibunaiyoru.wav,,
,,,しばらくの間動けずにいたが、,,,,
,,,自室へ戻ろうと廊下へ出た。,,,SCSE_wooddoorclose.wav,
Brank,,,自室へ向かう間も頭の中を,,,,
,,,コンラッドの言葉が駆け巡る。,,,,
Sentence,ブラッド,※反転して使用※左,「女王陛下のご意思については,scbg_office_night.png,,,Brad_face.png
,,,我々が言及することではない」,,,,
Sentence,コンラッド,右,「……まだ仮面を被るつもりか」,,,,Conrad_angry.png
Sentence,ブラッド,左,「口を慎みなさい」,,,,Brad_face.png
Sentence,コンラッド,右,「あなたのことをよく慕っていた,,,,Conrad_angry.png
,,,フィリップも、,,,,
Sentence,コンラッド,右,人型自立稼働兵器とのバディ制度,,,,Conrad_angry.png
,,,がはじまって殉死しました。,,,,
Sentence,コンラッド,右,……別に俺は人型自立稼働兵器の,,,,Conrad_angry.png
,,,存在を否定しているわけじゃない。,,,,
Sentence,コンラッド,右,彼らはすでに、人格を持ってしま,,,,Conrad_angry.png
,,,ったのだから、彼らは彼らで,,,,
,,,生きる意義を見つければいい。,,,,
Sentence,コンラッド,右,問題は、バディと取り組むことに,,,,Conrad_angry.png
,,,なった今回の任務が危険過ぎる,,,,
,,,ことだ」,,,,
Brank,,,事実、ブラッドは過去の資料を,,,,
,,,漁って驚いたことがある。,,,,
Brank,,,人型自立稼働兵器は兵器であり、,,,,
,,,本当の意味で死ぬことはない。,,,,
Brank,,,それを逆手に取って、上層部は,,,,
,,,紛争地域へ彼らを送り込んだし、,,,,
Brank,,,植民地との衝突解消に少人数で,,,,
,,,当たらせることもした。,,,,
Brank,,,『何かあれば人型自立稼働兵器を,,,,
,,,盾にして逃げろ』,,,,
Brank,,,そのやり方から上層部のそんな,,,,
,,,無言のメッセージが読み取れる。,,,,
Brank,,,しかしともに過ごすにつれて息が,,,,
,,,あっていく人型自立稼働兵器を、,,,,
,,,誰が道具だと割り切れただろう。,,,,
Sentence,コンラッド,右,「実際、フィリップもエルマーも,,,,Conrad_angry.png
,,,バディをかばって死んでいる。,,,,
,,,エルマーは、バディとともに……。,,,,
Sentence,コンラッド,右,本来であれば、一師団連れて行く,,,,Conrad_angry.png
,,,ような規模だ。そこにたった二人,,,,
,,,きりで行かせるなんて……」,,,,
Sentence,コンラッド,右,コンラッドが言葉に詰まった。,,,,
,,,ブラッドはどうすることもできず、,,,,
,,,ただ次の言葉を待った。,,,,
Sentence,コンラッド,右,「……そして、今回のこの任務。,,,,Conrad_angry.png
Sentence,コンラッド,右,機械奴隷を回収するということが,,,,Conrad_angry.png
,,,非人道的であると同時に、彼らの,,,,
,,,抵抗力を考慮しない人員配置。,,,,
Sentence,コンラッド,右,自分たちの命を守ろうとすれば、,,,,Conrad_angry.png
,,,彼らを殺さざるを得ないんです。,,,,
Sentence,コンラッド,右,バディを盾にして逃げるのも違う、,,,,Conrad_angry.png
,,,でも彼らを殺すのも違う。,,,,
Sentence,コンラッド,右,だったら俺は、,,,,Conrad_angry.png
,,,どうしたらいいんですか……？」,,,,
Brank,,,縋るようなコンラッドの眼差しに、,,,,
,,,次はブラッドが息を詰まらせる。,,,,
Brank,,,コンラッド自身にも、既に答えが,,,,
,,,あるわけではないだろう。,,,,
Brank,,,だからこそ、やり場のない怒りや,,,,
,,,悲しみを、ぶつけに来ているのだ。,,,,
Sentence,ブラッド,左,「……お前の言いたいことはよく,,,,Brad_bad.png
,,,わかった。私の方でも打開策を,,,,
,,,いくつか考えよう」,,,,
Sentence,コンラッド,右,「……お願いします」,,,,Conrad_face.png
Brank,,,コンラッドは頭を下げてから、,,,,
,,,ブラッドの瞳を探るように射抜く。,,,,
Brank,,,少しの間があって、コンラッドが,,,,
,,,立ち上がった。,,,,
Sentence,コンラッド,右,「……すみません。,,,,Conrad_angry.png
,,,俺の方から話に来たくせに、もう,,,,
,,,今日はここにいたくない気分だ。,,,,
Sentence,コンラッド,右,……失礼します」,,,,Conrad_angry.png
Brank,,,ブラッドの目を見ないまま、,,,,
,,,敬礼をして去っていくコンラッド。,,,,
Brank,,,その背中を見ながら、ブラッドは,,,SCSE_croftfoot.wav,
,,,自分の感情を持て余していた……―――。,,,,
Sentence,クロフト,右,「おや、こんな時間にどこへ？」,scbg_corridor_night.png,,,Croft_smile.png
Brank,,,顔を上げると、クロフトが冷たく,,,,
,,,微笑んでいた。,,,,
Sentence,ブラッド,左,「自室だよ」,,,,Brad_face.png
Sentence,クロフト,右,「そうですか。そういえば、,,,,Croft_smile.png
,,,この頃、パーシヴァル少佐と,,,,
,,,大変仲がよろしいようですね」,,,,
Sentence,ブラッド,左,「……それが何だ？」,,,,Brad_angry.png
Sentence,クロフト,右,「別に。個人的な付き合いが長い,,,,Croft_glare.png
,,,ことは知っていますが、彼には,,,,
Sentence,クロフト,右,あなたのような妙な正義感を持た,,,,Croft_glare.png
,,,ないで頂きたいんですよね。,,,,
,,,……兵士としての使い勝手が鈍る」,,,,
Sentence,ブラッド,左,「何が言いたい」,,,,Brad_angry.png
Sentence,クロフト,右,「理解できるように言いましょう。,,,,Croft_smile.png
,,,彼が面倒な動きをするなら、私が,,,,
,,,排除する。,,,,
Sentence,クロフト,右,チェスに要らない駒はないが、,,,,Croft_smile.png
,,,軍には時々転がっているようなの,,,,
,,,でね。,,,,
Sentence,クロフト,右,不要な駒など消してしまえばいい。,,,,Croft_smile.png
,,,それが嫌なら、飼い犬に首輪を,,,,
,,,つけておいてもらいませんと」,,,,
Brank,,,ほくそ笑むクロフトの瞳を、,,,SCSE_croftfoot.wav,
,,,ブラッドは鋭く見つめていた。,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
