コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Brank,,,クロフトの嫌味を浴びていた,scbg_corridor.png,SCBGM_shireibunoiseandfoot.ogg,,
,,,エリオットとともに司令部を出た。,,,,
Sentence,ブラッド,右,「エリオット、すまない。,,,,Brad_bad.png
,,,辛い思いをさせてしまったね」,,,,
Sentence,エリオット,左,「……いえ、慣れています」,,,,Eliot_face.png
Sentence,ブラッド,右,（慣れるほど言われていたのに、,,,,Brad_bad.png
,,右,私は何も気づかなかった……）,,,,
Sentence,ブラッド,,「そうか……悪かったね。私から,,,,Brad_face.png
,,,クロフト君には言っておこう」,,,,
Sentence,エリオット,左,「……いえ、このままでも……」,,,,Eliot_face.png
Sentence,ブラッド,右,「見ていられん。遠慮はするな。,,,,Brad_face.png
,,,それより、最近はどうだ……？」,,,,
Sentence,エリオット,左,「フィリップがいなくなって、,,,,Eliot_face.png
,,,……これほど感じ方が変わる,,,,
,,,ものかと驚いています」,,,,
Sentence,ブラッド,右,「……感じ方、とは？」,,,,Brad_face.png
Sentence,エリオット,左,「僕の中には人間のような,,,,Eliot_face.png
,,,複雑な感情はないはずなのに、,,,,
,,,まるで人間になったみたいです」,,,,
Sentence,ブラッド,右,「……フィリップと君は、,,,,Brad_face.png
,,,いい友人だったそうだね。,,,,
,,,コンラッドから聞いたよ」,,,,
Sentence,エリオット,左,「……はい」,,,,Eliot_face.png
Sentence,ブラッド,右,（フィリップであれば、,,,,Brad_face.png
,,,今のエリオットを救うことが,,,,
,,,できたのだろうか……）,,,,
Brank,,,エリオットの悲痛な横顔を見て,,,,
,,,苦い気持ちが心に広がっていく。,,,,
Brank,,,結局何を言うこともできないまま、,,,,
,,,玄関へたどり着き、任務へ赴く,,,,
,,,エリオットを見送った。,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
