コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Sentence,オーブリー,中央,「……これで以上かな？」,scbg_factory2.png,SCBGM_factorynoise.ogg,,Aubray_face.png
Brank,,,オーブリーは自分の周りに,,,,
,,,集まった人々を見回した。,,,,
Brank,,,オーブリーと同じ工場で働く,,,,
,,,労働者仲間たちである。,,,,
Sentence,オーブリー,中央,「集まってくれてありがとう。,,,,Aubray_smile.png
,,,単刀直入に聞くから僕の質問に,,,,
,,,誰か答えてほしい」,,,,
Brank,,,そこで一度言葉を区切り、,,,,
,,,前列に座り込む男の前に立った。,,,SCSE_sunanoue.wav,
Sentence,オーブリー,中央,「僕たち機械奴隷が、,,,,Aubray_smile.png
,,,虐げられている理由は何だ？」,,,,
Sentence,男,左,「……虐げられている理由？」,,,,ManA_face.png
Sentence,オーブリー,中央,「そう。僕達が貴族階級に,,,,Aubray_smile.png
,,,なれないのはどうしてだ？」,,,,
Sentence,男,左,「そりゃ人間どもが――」,,,,ManA_face.png
Sentence,オーブリー,中央,「僕らだって、人間だよね？」,,,,Aubray_smile.png
Brank,,,冷ややかな笑みを浮かべた,,,,
,,,オーブリーの姿に、周囲の者は,,,,
,,,息を呑みこんだ。,,,,
Sentence,オーブリー,中央,「それどころか、僕たちは彼らの,,,,Aubray_smile.png
,,,不足を補った完全無欠の存在だと,,,,
,,,いうのに。,,,,
Sentence,オーブリー,中央,僕らのどこに、,,,,Aubray_smile.png
,,,虐げられる理由がある？」,,,,
Sentence,男,左,「……それは……」,,,,ManA_face.png
Sentence,オーブリー,中央,「我が国にこの結果をもたらした,,,,Aubray_smile.png
,,,憎むべき犯人は、誰だ？」,,,,
Brank,,,オーブリーは微笑みから,,,,
,,,唇の形を変えることなく、,,,,
,,,周囲を見渡した。,,,,
Sentence,オーブリー,中央,「誰も、意見はないのか？,,,,Aubray_smile.png
,,,歴史に詳しいものはいないのか？」,,,,
Brank,,,誰も何も言わない。,,,,
Sentence,オーブリー,中央,「なるほど。,,,,Aubray_face.png
,,,では君たちも犯人の一部だな。,,,,
Sentence,オーブリー,中央,機械奴隷と呼ばれる奴らの,,,,Aubray_face.png
,,,学のなさには辟易とするよ」,,,,
Brank,,,オーブリーのその言葉に煽られて、,,,,
,,,どこからともなく「政府」「国」,,,,
,,,「上流階級」と呟く声が聞こえる。,,,,
