コマンド,キャラの名前,キャラ位置,本文,背景,BGM,SE,表情
Brank,,,この工場での仕事において、,scbg_factory2.png,SCBGM_factorynoise.ogg,,
,,,休憩することが許されている者は,,,,
,,,少ない。,,,,
Brank,,,オーブリーは工場長にもらった,,,,
,,,パンをかじりながら、,,,,
,,,工場裏へ来ていた。,,,,
Brank,,,彼は同年代で唯一休憩することが,,,,
,,,許される身分である。,,,,
Sentence,グレン・レズリー,右,「オーブリー。,,,,Glen_face.png
,,,B地区はほとんどだめらしい」,,,,
,,,街の様子を伝えに来た男が言う。,,,,
Sentence,オーブリー,左,「……わかった」,,,,Aubray_face.png
Brank,,,地図にバツマークをつける。,,,,
Sentence,オーブリー,左,「グレン。C地区の方は、,,,,Aubray_face.png
,,,何か聞いてる？」,,,,
Sentence,グレン・レズリー,右,「いや……。あっちはさっき,,,,Glen_face.png
,,,騒ぎになっていたから、,,,,
,,,誰か巻き込まれてるかもな」,,,,
Sentence,オーブリー,左,「……そうか。わかった。,,,,Aubray_face.png
,,,あっちはジェフリー担当か……」,,,,
Sentence,グレン・レズリー,右,「……ああ。,,,,Glen_face.png
,,,いい奴だから、無事だといいが」,,,,
Sentence,オーブリー,左,「そうだね。報告ありがとう。,,,,Aubray_face.png
,,,戻ってくれ」,,,,
Sentence,グレン・レズリー,右,「……ああ」,,,,Glen_face.png
Brank,,,グレンが去った後、オーブリーは,,,,
,,,地図をじっと見つめる。,,,,
Sentence,オーブリー,左,（奴ら、一日に何人『回収』する,,,,Aubray_face.png
,,,つもりだ……？,,,,
Sentence,オーブリー,左,一つの地区に一つの組を配置し、,,,,Aubray_face.png
,,,少なく見積もっても一日に,,,,
,,,六から九人を……。,,,,
Sentence,オーブリー,左,機械奴隷を完全に排除する,,,,Aubray_face.png
,,,つもりなのか……？）,,,,
Sentence,ギル・ガードナー,右,「オーブリー。話がある」,,,,Gill_face.png
Brank,,,急に呼びかけられ、顔を上げる。,,,,
Brank,,,そこには、工場では自分の,,,,
,,,次に贔屓にされている,,,,
,,,ギル・ガードナーの姿。,,,,
Sentence,オーブリー,左,「何？」,,,,Aubray_face.png
Sentence,ギル・ガードナー,右,「ヘミング・ギルソープという,,,,Gill_face.png
,,,男主人の家に、政府関係者,,,,
,,,らしい男が出入りしてる」,,,,
Sentence,オーブリー,左,「ヘミングおじさんの家に？」,,,,Aubray_face.png
Sentence,ギル・ガードナー,,「知り合いか？」,,,,Gill_face.png
