コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
Sentence,ブラッド,右,「クロフト君、トゥイガーだ」,scbg_corridor.png,SCBGM_shireibunai.ogg,,Brad_face.png
Sentence,クロフト,左,「……どうぞ」,,,,Croft_face.png
Brank,,,カークランドとの話の後、,,,,
,,,ブラッドはクロフトの執務室を,,,,
,,,訪れていた……――。,,,,
Brank,,,カークランドとの話し合いの中で。,scbg_office.png,,,
Sentence,カークランド,左,「直接の指揮官は,,,,Kirkland_face.png
,,,クロフト准将にやらせている」,,,,
Sentence,ブラッド,右,「クロフト、だと……？」,,,,Brad_face.png
Brank,,,彼女は同期の中でずば抜けて,,,,
,,,優秀だが、快楽殺人者でもある,,,,
,,,という噂だった。,,,,
Sentence,ブラッド,右,「なぜ彼女を？」,,,,Brad_face.png
Sentence,カークランド,左,「優秀な人物を起用するのは,,,,Kirkland_face.png
,,,間違っているかね？」,,,,
Sentence,ブラッド,右,「……」,,,,Brad_face.png
Sentence,カークランド,左,「回収対象者には君の友人は,,,,Kirkland_face.png
,,,含めていないが……」,,,,
Sentence,ブラッド,右,「ヘミングのことか……？」,,,,Brad_face.png
Sentence,カークランド,左,「ああ、そうだ。,,,,Kirkland_face.png
,,,君が任務を引き受けなければ、,,,,
,,,彼女が回収対象者を選定する。,,,,
Sentence,カークランド,左,その中にご友人が入らんとは,,,,Kirkland_face.png
,,,言い切れんだろうね」,,,,
Brank,,,愉悦に曲げられた瞳が、,,,,
,,,ブラッドの心を逆なでする。,,,,
Sentence,ブラッド,右,「……どのみち、私に選択肢は,,,,Brad_face.png
,,,残されていないということか」,,,,
Sentence,カークランド,左,「友よりも先に死んで自分の誇り,,,,Kirkland_face.png
,,,を守るか、引き受けて友を守るか、,,,,
,,,のどちらかだ」,,,,
Sentence,ブラッド,右,「……生き恥を晒しましょう」,,,,Brad_face.png
Sentence,カークランド,左,「決定だな」,,,,Kirkland_face.png
Brank,,,ブラッドはカークランドに背を,,,SCSE_bradfoot.wav,
,,,向けて歩き出した。,,,,
,,,しかし。,,,,
Sentence,カークランド,左,「ああ、一つ言い忘れた」,,,,Kirkland_face.png
Sentence,ブラッド,右,「なんです」,,,,Brad_face.png
Sentence,カークランド,左,「クロフト准将より下の奴らには、,,,,Kirkland_face.png
,,,機械奴隷回収の意味を農業に従事,,,,
,,,させるためだと言ってあることを……,,,,
Sentence,カークランド,左,決して、忘れぬように」,,,,Kirkland_face.png
Sentence,クロフト,左,「それで？　トゥイガーさんは,scbg_corridor.png,,,Croft_face.png
,,,この件、お受けになるんですか」,,,,
Sentence,ブラッド,右,「……そうと決めたから、君に,,,,Brad_face.png
,,,会いに来たんだ」,,,,
Sentence,クロフト,左,「そうですか。,,,,Croft_glare.png
,,,ではこれからよろしくお願いします」,,,,
Brank,,,クロフトは立ち上がりブラッドに,,,SCSE_isuwohiku.wav,
,,,握手を求める。,,,,
,,,ブラッドもその手を握り返した。,,,,
Sentence,クロフト,左,「あなたの事情は存じています。,,,,Croft_glare.png
,,,なので今は何も言いませんが……。,,,,
Sentence,クロフト,左,業務に支障をきたさぬようお願い,,,,Croft_glare.png
,,,します。,,,,
Brank,,,それと、あくまで直接の指揮官は,,,,
,,,私で、あなたは総括者です。,,,,
,,,そこだけ誤解さぬように」,,,,
Sentence,ブラッド,右,「……ああ、わかってるさ」,,,,Brad_face.png
Sentence,クロフト,左,「では、私は町へ出ますので」,,,,Croft_face.png
Brank,,,暗に部屋を出て行け、と言われた,,,SCSE_bradfoot.wav,
,,,のを感じて、ブラッドは退出した。,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
